# Daily average weather data retrieved from meteoblue
# https://www.meteoblue.com/en/historyplus
#
date,wave,period,wind
20010101T0000,0.2,3.2,9.424182
20010101T0100,0.2,3.2,8.889737
20010101T0200,0.2,3.2,8.591115
20010101T0300,0.2,3.2,8.189296
20010101T0400,0.2,3.3,7.7527
20010101T0500,0.2,3.4,7.5007806
20010101T0600,0.2,3.7,11.052883
20010101T0700,0.3,3.8,12.247738
20010101T0800,0.3,3.9,13.300579
20010101T0900,0.3,4,14.698864
20010101T1000,0.4,4,15.776567
20010101T1100,0.4,4,16.497675
20010101T1200,0.4,3.9,16.497675
20010101T1300,0.4,3.8,15.535761
20010101T1400,0.3,3.3,13.371256
20010101T1500,0.3,3.2,11.209208
20010101T1600,0.3,3.2,9.4549055
20010101T1700,0.2,3.2,8.237844
20010101T1800,0.2,3.3,7.808609
20010101T1900,0.2,3.3,7.8825383
20010101T2000,0.2,3.4,8.189296
20010101T2100,0.2,3.4,8.189296
20010101T2200,0.2,3.5,7.8825383
20010101T2300,0.2,3.5,7.3936915
20010102T0000,0.2,3.5,6.990457
20010102T0100,0.2,3.5,6.2628827
20010102T0200,0.2,3.5,6.1046004
20010102T0300,0.2,3.5,7.4083858
20010102T0400,0.2,3.1,8.095801
20010102T0500,0.2,3.2,7.544153
20010102T0600,0.2,3.3,7.6586094
20010102T0700,0.2,3.1,6.1460276
20010102T0800,0.2,3.1,3.920519
20010102T0900,0.2,3.1,4.257412
20010102T1000,0.2,3.2,5.9115205
20010102T1100,0.2,3.1,6.1046004
20010102T1200,0.2,3.2,7.047271
20010102T1300,0.2,3.2,7.9966836
20010102T1400,0.2,3.1,8.189296
20010102T1500,0.2,3.2,7.4279337
20010102T1600,0.1,3.2,6.2859936
20010102T1700,0.1,3.3,5.3311224
20010102T1800,0.1,3.3,4.950328
20010102T1900,0.1,3.3,4.2574115
20010102T2000,0.1,3.3,3.8552506
20010102T2100,0.1,3.3,4.074679
20010102T2200,0.1,3.7,3.6125338
20010102T2300,0.1,3.6,4.4814186
20010103T0000,0.1,3.6,4.964953
20010103T0100,0.1,3.6,5.9237723
20010103T0200,0.1,3.5,6.1401267
20010103T0300,0.1,3.5,6.2628827
20010103T0400,0.1,3.4,4.7940803
20010103T0500,0.1,3,4.763737
20010103T0600,0.1,2.7,5.762466
20010103T0700,0.1,2.9,7.250111
20010103T0800,0.2,3,8.914171
20010103T0900,0.2,3,10.139436
20010103T1000,0.2,3.2,9.708392
20010103T1100,0.2,2.9,8.416333
20010103T1200,0.2,2.6,6.4002934
20010103T1300,0.2,2.5,3.883357
20010103T1400,0.1,2.6,1.637859
20010103T1500,0.1,2.6,4.074679
20010103T1600,0.1,2.6,5.756171
20010103T1700,0.1,2.6,6.2802234
20010103T1800,0.1,2.5,6.484697
20010103T1900,0.1,2.5,6.65029
20010103T2000,0.1,2.5,6.7315593
20010103T2100,0.1,2.5,6.8648705
20010103T2200,0,2.9,6.35482
20010103T2300,0,2.9,6.074836
20010104T0000,0,2.8,5.391975
20010104T0100,0,2.8,5.391975
20010104T0200,0,2.7,6.8171782
20010104T0300,0,2.2,7.841038
20010104T0400,0.1,2.3,7.5007806
20010104T0500,0.1,2.5,8.202564
20010104T0600,0.2,2.7,10.75028
20010104T0700,0.2,2.8,12.212169
20010104T0800,0.2,2.7,11.309018
20010104T0900,0.2,2.6,9.801298
20010104T1000,0.2,2.6,9.158879
20010104T1100,0.2,2.5,7.6538744
20010104T1200,0.2,2.4,6.422909
20010104T1300,0.1,2.3,5.654509
20010104T1400,0.1,2.2,6.666623
20010104T1500,0.1,2.2,8.259818
20010104T1600,0.1,2.2,8.082357
20010104T1700,0.1,2.2,7.184816
20010104T1800,0.1,2.2,6.6502895
20010104T1900,0.1,2.1,5.9298882
20010104T2000,0.1,2.1,5.3650146
